Composition Code,P (GPa),sigP (GPa),T (K),sigT (K),Vm (cm^3/mol),rho (g/cm^3),nu  (Pa/s),signu (Pa/s),MgO (mol %),SiO2 (mol %),H2O (mol %),#Mg,#Si,#O,#H,Source
Fo,167.88405,6.11E-02,4000,3.19E-01,19.635,5.374076903,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,187.88405,6.11E-02,6000,3.19E-01,19.635,5.374076903,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,73.79966,6.11E-02,3000,3.19E-01,23.562,4.47839742,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,80.2744,6.11E-02,4000,3.19E-01,23.562,4.47839742,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,99.50517,6.11E-02,6000,3.19E-01,23.562,4.47839742,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,34.23105,6.11E-02,3000,3.19E-01,27.489,3.83862636,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,41.70265,6.11E-02,4000,3.19E-01,27.489,3.83862636,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,55.356495,6.11E-02,6000,3.19E-01,27.489,3.83862636,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,16.540796,6.11E-02,3000,3.19E-01,31.416,3.358798065,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,21.977617,6.11E-02,4000,3.19E-01,31.416,3.358798065,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,31.977617,6.11E-02,6000,3.19E-01,31.416,3.358798065,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,16.99229,0.083863,2992.48325,0.49385,31.41855864,3.358518964,0.00709,0.00312,66.67,33.33,0.00,46,23,92,0,This Study
Fo,11.83864,0.060525,2992.71637,0.3808,33.38423652,3.160767955,0.00453,0.0026,66.67,33.33,0.00,46,23,92,0,This Study
Fo,8.258238,6.11E-02,3000,3.19E-01,35.343,2.98559828,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,10.905866,6.11E-02,4000,3.19E-01,35.343,2.98559828,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,19.36797,6.11E-02,6000,3.19E-01,35.343,2.98559828,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,7.83179,0.05319,2992.8469,0.10446,35.35171752,2.984857099,0.00446,0.00162,66.67,33.33,0.00,46,23,92,0,This Study
Fo,4.68312,0.05267,2993.31006,0.17592,37.31362182,2.827916987,0.00346,0.00113,66.67,33.33,0.00,46,23,92,0,This Study
Fo,3.695002,6.11E-02,3000,3.19E-01,39.27,2.687038452,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,5.4116025,6.11E-02,4000,3.19E-01,39.27,2.687038452,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,12.33468,6.11E-02,6000,3.19E-01,39.27,2.687038452,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,2.45957,0.055031,2993.23811,0.44025,39.27755558,2.686517107,0.00138,3.25E-04,66.67,33.33,0.00,46,23,92,0,This Study
Fo,0.6632516,6.11E-02,3000,3.19E-01,43.197,2.442762229,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,2.801389,6.11E-02,4000,3.19E-01,43.197,2.442762229,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,8.18657,6.11E-02,6000,3.19E-01,43.197,2.442762229,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,-0.289811,6.11E-02,3000,3.19E-01,47.124,2.23919871,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,0.7686646,6.11E-02,4000,3.19E-01,47.124,2.23919871,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
Fo,5.19231,6.11E-02,6000,3.19E-01,47.124,2.23919871,NaN,NaN,66.67,33.33,0.00,NaN,NaN,NaN,NaN,de Koker et al. (2008)
MSH70,0.27554,0.03435,1771.77166,0.80733,41.37012042,41.37012042,5.21E-04,4.56E-04,28.81,20.34,50.85,17,12,71,60,This Study
MSH40,0.86932,0.05007,1784.24407,0.35956,38.77025966,38.77025966,0.00352,0.00135,45.16,32.26,22.58,28,20,82,28,This Study
MSH60,0.88905,0.037,1776.1111,0.47704,39.3402264,39.3402264,0.00106,2.33E-04,35.00,25.00,40.00,21,15,75,48,This Study
MS,1.01882,0.06122,2992.84256,0.39628,39.3874932,2.584682966,0.00214,3.13E-04,55.00,45.00,0.00,33,27,87,0,This Study
MSH60,1.26868,0.03718,2962.8429,0.72635,41.79899055,2.063047965,0.0022,7.62E-04,35.00,25.00,40.00,21,15,75,48,This Study
MSH70,1.59714,0.02798,1771.76189,0.63496,38.78448789,38.78448789,8.28E-04,4.24E-04,28.81,20.34,50.85,17,12,71,60,This Study
MSH70,1.95238,0.038949,2955.13244,0.46369,41.37012042,1.957328766,2.97E-04,3.01E-05,28.81,20.34,50.85,17,12,71,60,This Study
MSH40,2.00172,0.05301,1784.88818,0.22294,36.92405682,36.92405682,0.00775,0.00416,45.16,32.26,22.58,28,20,82,28,This Study
FoH50,2.35877,0.05243,1783.1537,0.41619,37.29836644,37.29836644,0.00521,0.002,50.00,25.00,25.00,32,16,80,32,This Study
MSH40,2.52424,0.04094,2975.88957,0.491,38.77025966,2.423575016,8.18E-04,1.32E-04,45.16,32.26,22.58,28,20,82,28,This Study
MSH60,2.62845,0.04189,1777.07006,0.40019,36.88146225,36.88146225,0.00193,0.00134,35.00,25.00,40.00,21,15,75,48,This Study
MS,2.64682,0.0568,2992.73543,0.18238,37.41811854,2.720718912,0.00206,7.89E-04,55.00,45.00,0.00,33,27,87,0,This Study
MSH60,2.78494,0.03564,2963.20292,0.5149,39.3402264,2.191988463,4.75E-04,1.36E-04,35.00,25.00,40.00,21,15,75,48,This Study
MSH70,3.61713,0.037622,2956.19712,0.52446,38.78448789,2.087817351,3.62E-04,6.66E-05,28.81,20.34,50.85,17,12,71,60,This Study
MSH70,3.67845,0.0444,1772.34868,0.49356,36.19885536,36.19885536,0.00102,1.95E-04,28.81,20.34,50.85,17,12,71,60,This Study
MSH40,4.06087,0.04646,1785.40372,0.57765,35.07785398,35.07785398,0.00373,0.00213,45.16,32.26,22.58,28,20,82,28,This Study
MSH40,4.30188,0.04797,2975.76818,0.48704,36.92405682,2.544753767,0.00104,3.43E-04,45.16,32.26,22.58,28,20,82,28,This Study
FoH50,4.48449,0.04324,1783.4159,0.41975,35.33529452,35.33529452,0.0036,0.00292,50.00,25.00,25.00,32,16,80,32,This Study
MSH60,4.87069,0.0382,2963.74459,0.52236,36.88146225,2.338121027,5.92E-04,3.14E-04,35.00,25.00,40.00,21,15,75,48,This Study
FoH50,4.93877,0.04765,2973.95893,0.6997,37.29836644,2.536847402,9.46E-04,4.01E-04,50.00,25.00,25.00,32,16,80,32,This Study
MS,5.2413,0.06103,2992.62926,0.48643,35.44874388,2.871869963,0.0021,5.60E-04,55.00,45.00,0.00,33,27,87,0,This Study
MSH60,5.26308,0.0708,1777.19554,0.53116,34.4226981,34.4226981,0.00303,0.00232,35.00,25.00,40.00,21,15,75,48,This Study
MSH70,6.00114,0.044626,2955.97015,0.44673,36.19885536,2.236947162,3.99E-04,9.18E-05,28.81,20.34,50.85,17,12,71,60,This Study
MSH70,6.46355,0.04284,1772.50792,0.23432,33.61322284,33.61322284,0.00138,4.44E-04,28.81,20.34,50.85,17,12,71,60,This Study
MSH40,6.5001,0.07724,1785.06988,0.23691,33.23165114,33.23165114,0.00926,0.00601,45.16,32.26,22.58,28,20,82,28,This Study
MSH40,6.65345,0.05313,2975.93089,0.50666,35.07785398,2.678688175,0.0011,2.72E-04,45.16,32.26,22.58,28,20,82,28,This Study
FoH50,7.51248,0.07973,1783.72689,0.48389,33.3722226,33.3722226,0.00815,0.00466,50.00,25.00,25.00,32,16,80,32,This Study
FoH50,7.5211,0.05431,2973.80632,0.40803,35.33529452,2.677783369,0.00113,4.44E-04,50.00,25.00,25.00,32,16,80,32,This Study
MSH60,7.81328,0.04801,2963.67886,0.44389,34.4226981,2.505129672,6.73E-04,1.32E-04,35.00,25.00,40.00,21,15,75,48,This Study
MS,8.16767,0.07908,2992.31093,0.23873,33.47936922,3.04080349,0.00244,4.01E-04,55.00,45.00,0.00,33,27,87,0,This Study
MSH60,8.65241,0.0893,1777.47606,0.40514,31.96393395,31.96393395,0.00315,0.00101,35.00,25.00,40.00,21,15,75,48,This Study
MSH70,9.36157,0.045973,2957.25285,0.55247,33.61322284,2.40902002,4.99E-04,1.11E-04,28.81,20.34,50.85,17,12,71,60,This Study
MSH40,9.66006,0.05282,2975.89198,0.68616,33.23165114,2.827504185,0.00167,2.84E-04,45.16,32.26,22.58,28,20,82,28,This Study
MSH40,9.91661,0.1048,1784.95831,0.25033,31.3854483,31.3854483,0.00748,0.00601,45.16,32.26,22.58,28,20,82,28,This Study
MSH70,10.68495,0.05796,1773.37107,0.32971,31.02759031,31.02759031,0.00251,9.80E-04,28.81,20.34,50.85,17,12,71,60,This Study
FoH50,11.02371,0.071,2974.30083,0.58807,33.3722226,2.835300038,0.00162,1.93E-04,50.00,25.00,25.00,32,16,80,32,This Study
FoH50,11.4699,0.07221,1783.68537,0.43038,31.40915068,31.40915068,0.00903,0.00742,50.00,25.00,25.00,32,16,80,32,This Study
MSH60,12.1732,0.059,2964.78265,0.51475,31.96393395,2.697831954,9.15E-04,2.24E-04,35.00,25.00,40.00,21,15,75,48,This Study
MS,12.56588,0.08628,2991.98196,0.31184,31.50999456,3.230853708,0.00319,0.00149,55.00,45.00,0.00,33,27,87,0,This Study
MSH40,13.60616,0.06914,2975.67145,0.54262,31.3854483,2.993827961,0.00173,9.37E-04,45.16,32.26,22.58,28,20,82,28,This Study
MSH60,13.9772,0.06924,1777.54131,0.24447,29.5051698,29.5051698,0.00391,0.0016,35.00,25.00,40.00,21,15,75,48,This Study
MSH70,14.11054,0.045712,2957.27957,0.30465,31.02759031,2.609771689,7.87E-04,4.67E-04,28.81,20.34,50.85,17,12,71,60,This Study
MSH40,14.23496,0.10613,1784.86952,0.33784,29.53924546,29.53924546,0.01003,0.00802,45.16,32.26,22.58,28,20,82,28,This Study
FoH50,15.68531,0.06894,2974.35877,0.50416,31.40915068,3.01250629,0.00108,3.94E-04,50.00,25.00,25.00,32,16,80,32,This Study
FoH50,16.48605,0.14712,1783.57218,0.16543,29.44607876,29.44607876,0.01603,0.00496,50.00,25.00,25.00,32,16,80,32,This Study
MSH70,16.52575,0.08567,1773.21652,0.24997,28.44195779,28.44195779,0.0022,4.64E-04,28.81,20.34,50.85,17,12,71,60,This Study
MS,18.05874,0.15006,2991.47681,0.26307,29.5406199,3.446243955,0.00386,0.00168,55.00,45.00,0.00,33,27,87,0,This Study
MSH60,18.24675,0.08225,2964.76904,0.18927,29.5051698,2.922651284,0.00114,6.36E-04,35.00,25.00,40.00,21,15,75,48,This Study
